"id","Orientation_date","Orientation_time","freq_down","freq_down_unit","batchnumber","true_value_Lon","true_value_lat","true_value_error","result_confidence","false_value_lon","false_value_lat","freq_up","freq_up_unit","multiAccessMode","modulate_pattern","code_Mode","bandwidth","bandwidth_unit","sps","sps_unit","medial_sat_norad","adjacent_sat_norad1","adjacent_sat_norad2"
"923802","2020/6/14","00:13:04","268350","KHz","2976","103.798","1.436","11963","0.890","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923803","2020/6/14","00:14:39","268350","KHz","2976","103.799","1.438","11963","0.890","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9613","Hz","25258","44637","40892"
"923804","2020/6/14","00:13:22","266950","KHz","9972","129.751","24.906","1000","0.990","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923805","2020/6/14","00:15:50","261925","KHz","110","130.807","-12.406","8983","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923806","2020/6/14","00:12:50","268350","KHz","9979","129.740","24.674","5001","0.950","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923807","2020/6/14","00:13:05","268350","KHz","9978","103.825","1.364","1000","0.990","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923808","2020/6/14","00:16:03","266950","KHz","3339","129.736","24.881","67128","0.330","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923809","2020/6/14","00:15:46","266950","KHz","3349","144.666","13.389","23723","0.770","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923810","2020/6/14","00:16:14","266950","KHz","3350","147.176","14.522","26893","0.740","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","19199","Hz","25258","44637","40892"
"923811","2020/6/14","00:10:42","252050","KHz","9971","127.004","36.905","10002","0.900","0.000","0.000","293050","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923812","2020/6/14","00:16:13","261925","KHz","110","130.804","-12.493","8977","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923813","2020/6/14","00:16:50","261925","KHz","110","130.802","-12.495","8977","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923814","2020/6/14","00:14:07","266950","KHz","9972","129.757","24.869","3000","0.970","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923815","2020/6/14","00:17:20","261925","KHz","110","130.808","-12.484","8981","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923816","2020/6/14","00:16:16","268350","KHz","2822","144.646","13.373","23715","0.770","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923817","2020/6/14","00:16:47","268350","KHz","2915","129.718","24.770","67140","0.330","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923818","2020/6/14","00:16:35","268350","KHz","2976","103.786","1.401","11982","0.890","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923819","2020/6/14","00:16:06","268350","KHz","2983","107.710","6.621","14404","0.860","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923820","2020/6/14","00:15:11","266950","KHz","9972","129.757","24.884","2000","0.980","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923821","2020/6/14","00:13:19","268350","KHz","9979","129.763","24.892","2000","0.980","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923822","2020/6/14","00:14:24","268350","KHz","9975","107.752","6.581","2000","0.980","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923823","2020/6/14","00:17:45","261925","KHz","110","130.806","-12.397","9002","0.910","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923824","2020/6/14","00:18:19","261925","KHz","110","130.807","-12.395","9002","0.910","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923825","2020/6/14","00:16:32","266950","KHz","3339","129.746","25.007","69454","0.310","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923826","2020/6/14","00:17:03","266950","KHz","3339","129.746","25.006","69454","0.310","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923827","2020/6/14","00:17:30","266950","KHz","3339","129.746","25.005","69454","0.310","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923828","2020/6/14","00:18:09","266950","KHz","3339","129.747","25.003","69454","0.310","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923829","2020/6/14","00:17:35","266950","KHz","3349","144.659","13.408","23870","0.770","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923830","2020/6/14","00:17:06","266950","KHz","3350","147.177","14.562","27089","0.730","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","19199","Hz","25258","44637","40892"
"923831","2020/6/14","00:18:12","266950","KHz","3350","147.173","14.558","27089","0.730","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","19199","Hz","25258","44637","40892"
"923832","2020/6/14","00:18:15","252050","KHz","1432","147.180","14.297","26503","0.740","0.000","0.000","293050","KHz","TD","未知","未知","25000","Hz","9613","Hz","25258","44637","40892"
"923833","2020/6/14","00:14:35","268350","KHz","9979","129.747","24.785","1000","0.990","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923834","2020/6/14","00:14:40","268350","KHz","9978","103.831","1.364","5001","0.950","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923835","2020/6/14","00:18:49","261925","KHz","110","130.808","-12.388","9006","0.910","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923836","2020/6/14","00:19:20","261925","KHz","110","130.808","-12.392","9011","0.910","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923837","2020/6/14","00:18:33","252050","KHz","1432","147.181","14.308","26546","0.740","0.000","0.000","293050","KHz","TD","未知","未知","25000","Hz","9613","Hz","25258","44637","40892"
"923838","2020/6/14","00:18:02","268350","KHz","2915","129.701","24.647","66352","0.340","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923839","2020/6/14","00:18:07","268350","KHz","2945","139.552","34.831","57257","0.430","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
